Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#9 - >ACT-5_class_C	superfamily	451269	1	381	0	625.378	cl21491	Transpeptidase superfamily	 - 	 - 
Q#9 - >ACT-5_class_C	specific	395092	32	381	6.17589e-98	294.411	pfam00144	Beta-lactamase	 - 	cl21491
Q#9 - >ACT-5_class_C	specific	224594	2	379	9.45543e-57	190.206	COG1680	AmpC	 - 	cl43486
Q#9 - >ACT-5_class_C	superfamily	224594	2	379	9.45543e-57	190.206	cl43486	AmpC superfamily	 - 	 - 
Q#9 - >ACT-5_class_C	non-specific	236732	2	363	6.51044e-23	98.5663	PRK10662	PRK10662	 - 	cl21491
Q#9 - >ACT-5_class_C	non-specific	179620	2	210	3.82992e-10	60.9594	PRK03642	PRK03642	C	cl21491
Q#9 - >ACT-5_class_C	non-specific	171868	46	253	1.78291e-08	56.0179	PRK13128	PRK13128	C	cl31632
Q#9 - >ACT-5_class_C	superfamily	171868	46	253	1.78291e-08	56.0179	cl31632	PRK13128 superfamily	C	 - 
Q#10 - >ACT-6_class_C	specific	236894	1	381	0	637.32	PRK11289	ampC	 - 	cl21491
Q#10 - >ACT-6_class_C	superfamily	451269	1	381	0	637.32	cl21491	Transpeptidase superfamily	 - 	 - 
Q#10 - >ACT-6_class_C	specific	395092	32	381	3.70782e-100	299.803	pfam00144	Beta-lactamase	 - 	cl21491
Q#10 - >ACT-6_class_C	specific	224594	2	379	7.79725e-59	195.599	COG1680	AmpC	 - 	cl43486
Q#10 - >ACT-6_class_C	superfamily	224594	2	379	7.79725e-59	195.599	cl43486	AmpC superfamily	 - 	 - 
Q#10 - >ACT-6_class_C	non-specific	236732	2	363	8.58209e-25	103.959	PRK10662	PRK10662	 - 	cl21491
Q#10 - >ACT-6_class_C	non-specific	171868	46	253	4.63436e-08	54.8623	PRK13128	PRK13128	C	cl31632
Q#10 - >ACT-6_class_C	superfamily	171868	46	253	4.63436e-08	54.8623	cl31632	PRK13128 superfamily	C	 - 
Q#10 - >ACT-6_class_C	non-specific	179620	2	362	1.24201e-06	50.1738	PRK03642	PRK03642	 - 	cl21491
Q#11 - >ACT-7_class_C	specific	236894	1	381	0	627.304	PRK11289	ampC	 - 	cl21491
Q#11 - >ACT-7_class_C	superfamily	451269	1	381	0	627.304	cl21491	Transpeptidase superfamily	 - 	 - 
Q#11 - >ACT-7_class_C	specific	395092	32	381	1.23734e-97	293.64	pfam00144	Beta-lactamase	 - 	cl21491
Q#11 - >ACT-7_class_C	specific	224594	2	377	5.68233e-58	193.288	COG1680	AmpC	 - 	cl43486
Q#11 - >ACT-7_class_C	superfamily	224594	2	377	5.68233e-58	193.288	cl43486	AmpC superfamily	 - 	 - 
Q#11 - >ACT-7_class_C	non-specific	236732	2	363	2.35746e-24	102.803	PRK10662	PRK10662	 - 	cl21491
Q#11 - >ACT-7_class_C	non-specific	179620	2	210	6.7228e-09	57.1074	PRK03642	PRK03642	C	cl21491
Q#11 - >ACT-7_class_C	non-specific	171868	46	253	3.58628e-08	54.8623	PRK13128	PRK13128	C	cl31632
Q#11 - >ACT-7_class_C	superfamily	171868	46	253	3.58628e-08	54.8623	cl31632	PRK13128 superfamily	C	 - 
Q#12 - >ACT-8_class_C	specific	236894	1	381	0	639.631	PRK11289	ampC	 - 	cl21491
Q#12 - >ACT-8_class_C	superfamily	451269	1	381	0	639.631	cl21491	Transpeptidase superfamily	 - 	 - 
Q#12 - >ACT-8_class_C	specific	395092	33	381	5.60314e-99	297.107	pfam00144	Beta-lactamase	 - 	cl21491
Q#12 - >ACT-8_class_C	specific	224594	1	380	2.81092e-59	196.755	COG1680	AmpC	 - 	cl43486
Q#12 - >ACT-8_class_C	superfamily	224594	1	380	2.81092e-59	196.755	cl43486	AmpC superfamily	 - 	 - 
Q#12 - >ACT-8_class_C	non-specific	236732	3	364	4.8178e-24	102.033	PRK10662	PRK10662	 - 	cl21491
Q#12 - >ACT-8_class_C	non-specific	171868	47	254	3.31193e-08	55.2475	PRK13128	PRK13128	C	cl31632
Q#12 - >ACT-8_class_C	superfamily	171868	47	254	3.31193e-08	55.2475	cl31632	PRK13128 superfamily	C	 - 
Q#12 - >ACT-8_class_C	non-specific	179620	1	363	1.00442e-06	50.1738	PRK03642	PRK03642	 - 	cl21491
Q#13 - >ACT-9_class_C	specific	236894	1	380	0	643.868	PRK11289	ampC	 - 	cl21491
Q#13 - >ACT-9_class_C	superfamily	451269	1	380	0	643.868	cl21491	Transpeptidase superfamily	 - 	 - 
Q#13 - >ACT-9_class_C	specific	395092	32	380	1.17112e-98	295.951	pfam00144	Beta-lactamase	 - 	cl21491
Q#13 - >ACT-9_class_C	specific	224594	5	379	7.82558e-59	195.599	COG1680	AmpC	 - 	cl43486
Q#13 - >ACT-9_class_C	superfamily	224594	5	379	7.82558e-59	195.599	cl43486	AmpC superfamily	 - 	 - 
Q#13 - >ACT-9_class_C	non-specific	236732	8	363	7.94945e-26	107.041	PRK10662	PRK10662	 - 	cl21491
Q#13 - >ACT-9_class_C	non-specific	171868	29	358	2.16812e-09	58.7143	PRK13128	PRK13128	C	cl31632
Q#13 - >ACT-9_class_C	superfamily	171868	29	358	2.16812e-09	58.7143	cl31632	PRK13128 superfamily	C	 - 
Q#13 - >ACT-9_class_C	non-specific	179620	72	362	1.26168e-05	46.707	PRK03642	PRK03642	N	cl21491
Q#14 - >ACT-10_class_C	specific	236894	1	381	0	633.082	PRK11289	ampC	 - 	cl21491
Q#14 - >ACT-10_class_C	superfamily	451269	1	381	0	633.082	cl21491	Transpeptidase superfamily	 - 	 - 
Q#14 - >ACT-10_class_C	specific	395092	32	381	4.26939e-98	294.796	pfam00144	Beta-lactamase	 - 	cl21491
Q#14 - >ACT-10_class_C	specific	224594	2	379	2.53537e-58	194.444	COG1680	AmpC	 - 	cl43486
Q#14 - >ACT-10_class_C	superfamily	224594	2	379	2.53537e-58	194.444	cl43486	AmpC superfamily	 - 	 - 
Q#14 - >ACT-10_class_C	non-specific	236732	2	363	1.13256e-22	98.1811	PRK10662	PRK10662	 - 	cl21491
Q#14 - >ACT-10_class_C	non-specific	171868	46	253	3.46122e-09	58.3291	PRK13128	PRK13128	C	cl31632
Q#14 - >ACT-10_class_C	superfamily	171868	46	253	3.46122e-09	58.3291	cl31632	PRK13128 superfamily	C	 - 
Q#14 - >ACT-10_class_C	non-specific	179620	2	362	1.0302e-07	53.2554	PRK03642	PRK03642	 - 	cl21491
Q#15 - >ACT-12_class_C	specific	236894	1	381	0	630.386	PRK11289	ampC	 - 	cl21491
Q#15 - >ACT-12_class_C	superfamily	451269	1	381	0	630.386	cl21491	Transpeptidase superfamily	 - 	 - 
Q#15 - >ACT-12_class_C	specific	395092	32	381	5.35811e-97	291.714	pfam00144	Beta-lactamase	 - 	cl21491
Q#15 - >ACT-12_class_C	specific	224594	2	379	5.7439e-57	190.977	COG1680	AmpC	 - 	cl43486
Q#15 - >ACT-12_class_C	superfamily	224594	2	379	5.7439e-57	190.977	cl43486	AmpC superfamily	 - 	 - 
Q#15 - >ACT-12_class_C	non-specific	236732	2	363	3.33925e-25	105.115	PRK10662	PRK10662	 - 	cl21491
Q#15 - >ACT-12_class_C	non-specific	171868	46	358	4.15121e-06	48.6991	PRK13128	PRK13128	C	cl31632
Q#15 - >ACT-12_class_C	superfamily	171868	46	358	4.15121e-06	48.6991	cl31632	PRK13128 superfamily	C	 - 
Q#15 - >ACT-12_class_C	non-specific	179620	2	210	9.06592e-06	47.4774	PRK03642	PRK03642	C	cl21491
Q#16 - >ACT-14_class_C	specific	236894	1	381	0	628.075	PRK11289	ampC	 - 	cl21491
Q#16 - >ACT-14_class_C	superfamily	451269	1	381	0	628.075	cl21491	Transpeptidase superfamily	 - 	 - 
Q#16 - >ACT-14_class_C	specific	395092	32	381	9.22942e-98	293.64	pfam00144	Beta-lactamase	 - 	cl21491
Q#16 - >ACT-14_class_C	specific	224594	2	379	6.59306e-57	190.592	COG1680	AmpC	 - 	cl43486
Q#16 - >ACT-14_class_C	superfamily	224594	2	379	6.59306e-57	190.592	cl43486	AmpC superfamily	 - 	 - 
Q#16 - >ACT-14_class_C	non-specific	236732	2	363	3.92606e-23	99.3367	PRK10662	PRK10662	 - 	cl21491
Q#16 - >ACT-14_class_C	non-specific	171868	46	346	1.29636e-08	56.4031	PRK13128	PRK13128	C	cl31632
Q#16 - >ACT-14_class_C	superfamily	171868	46	346	1.29636e-08	56.4031	cl31632	PRK13128 superfamily	C	 - 
Q#16 - >ACT-14_class_C	non-specific	179620	2	210	2.57715e-08	55.1814	PRK03642	PRK03642	C	cl21491
Q#17 - >ACT-15_class_C	specific	236894	1	381	0	624.608	PRK11289	ampC	 - 	cl21491
Q#17 - >ACT-15_class_C	superfamily	451269	1	381	0	624.608	cl21491	Transpeptidase superfamily	 - 	 - 
Q#17 - >ACT-15_class_C	specific	395092	32	381	1.01664e-96	291.329	pfam00144	Beta-lactamase	 - 	cl21491
Q#17 - >ACT-15_class_C	specific	224594	2	377	2.07444e-57	192.132	COG1680	AmpC	 - 	cl43486
Q#17 - >ACT-15_class_C	superfamily	224594	2	377	2.07444e-57	192.132	cl43486	AmpC superfamily	 - 	 - 
Q#17 - >ACT-15_class_C	non-specific	236732	2	363	2.79226e-23	99.7219	PRK10662	PRK10662	 - 	cl21491
Q#17 - >ACT-15_class_C	non-specific	179620	2	210	2.10048e-08	55.5666	PRK03642	PRK03642	C	cl21491
Q#17 - >ACT-15_class_C	non-specific	171868	46	253	4.4e-07	51.7807	PRK13128	PRK13128	C	cl31632
Q#17 - >ACT-15_class_C	superfamily	171868	46	253	4.4e-07	51.7807	cl31632	PRK13128 superfamily	C	 - 
Q#18 - >ACT-16_class_C	specific	236894	1	380	0	631.542	PRK11289	ampC	 - 	cl21491
Q#18 - >ACT-16_class_C	superfamily	451269	1	380	0	631.542	cl21491	Transpeptidase superfamily	 - 	 - 
Q#18 - >ACT-16_class_C	specific	395092	32	380	1.31907e-97	293.255	pfam00144	Beta-lactamase	 - 	cl21491
Q#18 - >ACT-16_class_C	specific	224594	2	377	1.97493e-57	192.132	COG1680	AmpC	 - 	cl43486
Q#18 - >ACT-16_class_C	superfamily	224594	2	377	1.97493e-57	192.132	cl43486	AmpC superfamily	 - 	 - 
Q#18 - >ACT-16_class_C	non-specific	236732	2	363	6.92272e-26	107.041	PRK10662	PRK10662	 - 	cl21491
Q#18 - >ACT-16_class_C	non-specific	179620	2	210	8.0654e-10	59.8038	PRK03642	PRK03642	C	cl21491
Q#18 - >ACT-16_class_C	non-specific	171868	46	253	1.07943e-08	56.7883	PRK13128	PRK13128	C	cl31632
Q#18 - >ACT-16_class_C	superfamily	171868	46	253	1.07943e-08	56.7883	cl31632	PRK13128 superfamily	C	 - 
Q#19 - >AmpC_class_C	specific	236894	1	381	0	626.919	PRK11289	ampC	 - 	cl21491
Q#19 - >AmpC_class_C	superfamily	451269	1	381	0	626.919	cl21491	Transpeptidase superfamily	 - 	 - 
Q#19 - >AmpC_class_C	specific	395092	32	381	5.54261e-99	297.107	pfam00144	Beta-lactamase	 - 	cl21491
Q#19 - >AmpC_class_C	specific	224594	2	377	1.13188e-60	200.607	COG1680	AmpC	 - 	cl43486
Q#19 - >AmpC_class_C	superfamily	224594	2	377	1.13188e-60	200.607	cl43486	AmpC superfamily	 - 	 - 
Q#19 - >AmpC_class_C	non-specific	236732	1	363	2.10159e-30	119.752	PRK10662	PRK10662	 - 	cl21491
Q#19 - >AmpC_class_C	non-specific	171868	46	253	5.9882e-08	54.4771	PRK13128	PRK13128	C	cl31632
Q#19 - >AmpC_class_C	superfamily	171868	46	253	5.9882e-08	54.4771	cl31632	PRK13128 superfamily	C	 - 
Q#19 - >AmpC_class_C	non-specific	179620	2	210	7.36885e-07	50.9442	PRK03642	PRK03642	C	cl21491
Q#20 - >beta-lactamase_class-C_class_C	specific	236894	17	395	0	609.97	PRK11289	ampC	 - 	cl21491
Q#20 - >beta-lactamase_class-C_class_C	superfamily	451269	17	395	0	609.97	cl21491	Transpeptidase superfamily	 - 	 - 
Q#20 - >beta-lactamase_class-C_class_C	specific	395092	49	393	1.0727e-72	230.082	pfam00144	Beta-lactamase	 - 	cl21491
Q#20 - >beta-lactamase_class-C_class_C	specific	224594	12	393	1.0585e-50	174.798	COG1680	AmpC	 - 	cl43486
Q#20 - >beta-lactamase_class-C_class_C	superfamily	224594	12	393	1.0585e-50	174.798	cl43486	AmpC superfamily	 - 	 - 
Q#20 - >beta-lactamase_class-C_class_C	non-specific	236732	14	370	4.49135e-18	84.6991	PRK10662	PRK10662	 - 	cl21491
Q#20 - >beta-lactamase_class-C_class_C	non-specific	179620	22	377	1.86361e-05	46.3218	PRK03642	PRK03642	 - 	cl21491
Q#21 - >BIL-1_class_C	specific	236894	1	381	0	624.223	PRK11289	ampC	 - 	cl21491
Q#21 - >BIL-1_class_C	superfamily	451269	1	381	0	624.223	cl21491	Transpeptidase superfamily	 - 	 - 
Q#21 - >BIL-1_class_C	specific	395092	32	381	5.13042e-97	292.099	pfam00144	Beta-lactamase	 - 	cl21491
Q#21 - >BIL-1_class_C	specific	224594	2	377	2.38402e-60	199.836	COG1680	AmpC	 - 	cl43486
Q#21 - >BIL-1_class_C	superfamily	224594	2	377	2.38402e-60	199.836	cl43486	AmpC superfamily	 - 	 - 
Q#21 - >BIL-1_class_C	non-specific	236732	1	363	1.22082e-32	125.915	PRK10662	PRK10662	 - 	cl21491
Q#21 - >BIL-1_class_C	non-specific	171868	46	201	8.53228e-06	47.5435	PRK13128	PRK13128	C	cl31632
Q#21 - >BIL-1_class_C	superfamily	171868	46	201	8.53228e-06	47.5435	cl31632	PRK13128 superfamily	C	 - 
Q#21 - >BIL-1_class_C	non-specific	179620	2	207	1.30166e-05	46.707	PRK03642	PRK03642	C	cl21491
Q#22 - >CFE-1_class_C	specific	236894	1	381	0	639.631	PRK11289	ampC	 - 	cl21491
Q#22 - >CFE-1_class_C	superfamily	451269	1	381	0	639.631	cl21491	Transpeptidase superfamily	 - 	 - 
Q#22 - >CFE-1_class_C	specific	395092	32	381	7.02872e-97	291.714	pfam00144	Beta-lactamase	 - 	cl21491
Q#22 - >CFE-1_class_C	specific	224594	7	377	1.81351e-61	202.533	COG1680	AmpC	 - 	cl43486
Q#22 - >CFE-1_class_C	superfamily	224594	7	377	1.81351e-61	202.533	cl43486	AmpC superfamily	 - 	 - 
Q#22 - >CFE-1_class_C	non-specific	236732	1	363	3.92332e-30	118.982	PRK10662	PRK10662	 - 	cl21491
Q#22 - >CFE-1_class_C	non-specific	171868	46	277	9.73403e-08	53.7067	PRK13128	PRK13128	C	cl31632
Q#22 - >CFE-1_class_C	superfamily	171868	46	277	9.73403e-08	53.7067	cl31632	PRK13128 superfamily	C	 - 
Q#22 - >CFE-1_class_C	non-specific	179620	2	207	0.000105938	44.0106	PRK03642	PRK03642	C	cl21491
Q#23 - >CMG_class_C	specific	236894	1	351	0	574.147	PRK11289	ampC	 - 	cl21491
Q#23 - >CMG_class_C	superfamily	451269	1	351	0	574.147	cl21491	Transpeptidase superfamily	 - 	 - 
Q#23 - >CMG_class_C	specific	395092	27	351	6.51424e-88	267.447	pfam00144	Beta-lactamase	 - 	cl21491
Q#23 - >CMG_class_C	specific	224594	1	351	9.35682e-50	170.946	COG1680	AmpC	 - 	cl43486
Q#23 - >CMG_class_C	superfamily	224594	1	351	9.35682e-50	170.946	cl43486	AmpC superfamily	 - 	 - 
Q#23 - >CMG_class_C	non-specific	236732	3	351	7.21727e-25	103.574	PRK10662	PRK10662	 - 	cl21491
Q#23 - >CMG_class_C	non-specific	171868	18	248	7.66492e-09	56.7883	PRK13128	PRK13128	C	cl31632
Q#23 - >CMG_class_C	superfamily	171868	18	248	7.66492e-09	56.7883	cl31632	PRK13128 superfamily	C	 - 
Q#23 - >CMG_class_C	non-specific	179620	67	205	4.56441e-05	44.781	PRK03642	PRK03642	NC	cl21491
Q#24 - >CMY-1_class_C	specific	236894	5	381	0	616.904	PRK11289	ampC	 - 	cl21491
Q#24 - >CMY-1_class_C	superfamily	451269	5	381	0	616.904	cl21491	Transpeptidase superfamily	 - 	 - 
Q#24 - >CMY-1_class_C	specific	395092	36	381	1.17296e-86	265.521	pfam00144	Beta-lactamase	 - 	cl21491
Q#24 - >CMY-1_class_C	specific	224594	4	377	2.31769e-48	168.25	COG1680	AmpC	 - 	cl43486
Q#24 - >CMY-1_class_C	superfamily	224594	4	377	2.31769e-48	168.25	cl43486	AmpC superfamily	 - 	 - 
Q#24 - >CMY-1_class_C	non-specific	236732	11	382	5.87076e-18	84.3139	PRK10662	PRK10662	 - 	cl21491
Q#24 - >CMY-1_class_C	non-specific	179620	50	362	9.32544e-05	44.0106	PRK03642	PRK03642	 - 	cl21491
Q#25 - >CMY-2_class_C	specific	236894	1	381	0	631.156	PRK11289	ampC	 - 	cl21491
Q#25 - >CMY-2_class_C	superfamily	451269	1	381	0	631.156	cl21491	Transpeptidase superfamily	 - 	 - 
Q#25 - >CMY-2_class_C	specific	395092	32	381	4.21976e-97	292.099	pfam00144	Beta-lactamase	 - 	cl21491
Q#25 - >CMY-2_class_C	specific	224594	2	377	1.40037e-60	200.221	COG1680	AmpC	 - 	cl43486
Q#25 - >CMY-2_class_C	superfamily	224594	2	377	1.40037e-60	200.221	cl43486	AmpC superfamily	 - 	 - 
Q#25 - >CMY-2_class_C	non-specific	236732	1	363	8.77096e-30	117.826	PRK10662	PRK10662	 - 	cl21491
Q#25 - >CMY-2_class_C	non-specific	171868	46	277	3.86932e-06	48.6991	PRK13128	PRK13128	C	cl31632
Q#25 - >CMY-2_class_C	superfamily	171868	46	277	3.86932e-06	48.6991	cl31632	PRK13128 superfamily	C	 - 
Q#25 - >CMY-2_class_C	non-specific	179620	2	368	3.55566e-05	45.5514	PRK03642	PRK03642	 - 	cl21491
Q#26 - >CMY-4_class_C	specific	236894	1	381	0	631.156	PRK11289	ampC	 - 	cl21491
Q#26 - >CMY-4_class_C	superfamily	451269	1	381	0	631.156	cl21491	Transpeptidase superfamily	 - 	 - 
Q#26 - >CMY-4_class_C	specific	395092	32	381	1.83029e-98	295.566	pfam00144	Beta-lactamase	 - 	cl21491
Q#26 - >CMY-4_class_C	specific	224594	2	377	2.2923e-61	202.147	COG1680	AmpC	 - 	cl43486
Q#26 - >CMY-4_class_C	superfamily	224594	2	377	2.2923e-61	202.147	cl43486	AmpC superfamily	 - 	 - 
Q#26 - >CMY-4_class_C	non-specific	236732	1	363	1.58574e-31	122.834	PRK10662	PRK10662	 - 	cl21491
Q#26 - >CMY-4_class_C	non-specific	171868	46	277	2.92045e-06	49.0843	PRK13128	PRK13128	C	cl31632
Q#26 - >CMY-4_class_C	superfamily	171868	46	277	2.92045e-06	49.0843	cl31632	PRK13128 superfamily	C	 - 
