Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#8 - >OXA-7_class_D	non-specific	236761	64	152	2.10671e-05	45.5297	PRK10795	PRK10795	NC	cl35950
Q#8 - >OXA-7_class_D	superfamily	236761	64	152	2.10671e-05	45.5297	cl35950	PRK10795 superfamily	NC	 - 
Q#9 - >OXA-9_class_D	non-specific	225322	37	275	1.15216e-69	215.693	COG2602	YbxI	 - 	cl43695
Q#9 - >OXA-9_class_D	superfamily	225322	37	275	1.15216e-69	215.693	cl43695	YbxI superfamily	 - 	 - 
Q#9 - >OXA-9_class_D	non-specific	425939	40	247	6.55111e-33	122.14	pfam00905	Transpeptidase	 - 	cl21491
Q#9 - >OXA-9_class_D	superfamily	451269	40	247	6.55111e-33	122.14	cl21491	Transpeptidase superfamily	 - 	 - 
Q#10 - >OXA-10_class_D	non-specific	225322	13	264	9.67993e-74	225.708	COG2602	YbxI	 - 	cl43695
Q#10 - >OXA-10_class_D	superfamily	225322	13	264	9.67993e-74	225.708	cl43695	YbxI superfamily	 - 	 - 
Q#10 - >OXA-10_class_D	non-specific	425939	59	259	4.33062e-31	116.747	pfam00905	Transpeptidase	 - 	cl21491
Q#10 - >OXA-10_class_D	superfamily	451269	59	259	4.33062e-31	116.747	cl21491	Transpeptidase superfamily	 - 	 - 
Q#10 - >OXA-10_class_D	non-specific	274573	63	151	3.71316e-06	47.5177	TIGR03423	pbp2_mrdA	NC	cl37268
Q#10 - >OXA-10_class_D	superfamily	274573	63	151	3.71316e-06	47.5177	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#10 - >OXA-10_class_D	non-specific	236761	63	151	7.27861e-05	43.6037	PRK10795	PRK10795	NC	cl35950
Q#10 - >OXA-10_class_D	superfamily	236761	63	151	7.27861e-05	43.6037	cl35950	PRK10795 superfamily	NC	 - 
Q#11 - >OXA-11_class_D	non-specific	225322	13	264	4.26178e-72	221.471	COG2602	YbxI	 - 	cl43695
Q#11 - >OXA-11_class_D	superfamily	225322	13	264	4.26178e-72	221.471	cl43695	YbxI superfamily	 - 	 - 
Q#11 - >OXA-11_class_D	non-specific	425939	59	259	1.40879e-29	112.895	pfam00905	Transpeptidase	 - 	cl21491
Q#11 - >OXA-11_class_D	superfamily	451269	59	259	1.40879e-29	112.895	cl21491	Transpeptidase superfamily	 - 	 - 
Q#11 - >OXA-11_class_D	non-specific	274573	63	151	2.56259e-06	48.2881	TIGR03423	pbp2_mrdA	NC	cl37268
Q#11 - >OXA-11_class_D	superfamily	274573	63	151	2.56259e-06	48.2881	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#11 - >OXA-11_class_D	non-specific	236761	63	151	6.36204e-05	43.9889	PRK10795	PRK10795	NC	cl35950
Q#11 - >OXA-11_class_D	superfamily	236761	63	151	6.36204e-05	43.9889	cl35950	PRK10795 superfamily	NC	 - 
Q#12 - >OXA-12_class_D	non-specific	225322	1	264	1.01754e-68	212.611	COG2602	YbxI	 - 	cl43695
Q#12 - >OXA-12_class_D	superfamily	225322	1	264	1.01754e-68	212.611	cl43695	YbxI superfamily	 - 	 - 
Q#12 - >OXA-12_class_D	specific	425939	43	257	3.49959e-55	179.534	pfam00905	Transpeptidase	 - 	cl21491
Q#12 - >OXA-12_class_D	superfamily	451269	43	257	3.49959e-55	179.534	cl21491	Transpeptidase superfamily	 - 	 - 
Q#13 - >OXA-13_class_D	non-specific	225322	13	264	1.33477e-71	219.93	COG2602	YbxI	 - 	cl43695
Q#13 - >OXA-13_class_D	superfamily	225322	13	264	1.33477e-71	219.93	cl43695	YbxI superfamily	 - 	 - 
Q#13 - >OXA-13_class_D	non-specific	425939	59	240	2.02994e-29	112.51	pfam00905	Transpeptidase	 - 	cl21491
Q#13 - >OXA-13_class_D	superfamily	451269	59	240	2.02994e-29	112.51	cl21491	Transpeptidase superfamily	 - 	 - 
Q#13 - >OXA-13_class_D	non-specific	274573	63	151	1.68971e-06	48.6733	TIGR03423	pbp2_mrdA	NC	cl37268
Q#13 - >OXA-13_class_D	superfamily	274573	63	151	1.68971e-06	48.6733	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#13 - >OXA-13_class_D	non-specific	236761	63	151	3.58094e-05	44.7593	PRK10795	PRK10795	NC	cl35950
Q#13 - >OXA-13_class_D	superfamily	236761	63	151	3.58094e-05	44.7593	cl35950	PRK10795 superfamily	NC	 - 
Q#14 - >OXA-15_class_D	non-specific	225322	39	265	2.13473e-93	275.784	COG2602	YbxI	 - 	cl43695
Q#14 - >OXA-15_class_D	superfamily	225322	39	265	2.13473e-93	275.784	cl43695	YbxI superfamily	 - 	 - 
Q#14 - >OXA-15_class_D	specific	425939	42	257	1.56785e-50	167.978	pfam00905	Transpeptidase	 - 	cl21491
Q#14 - >OXA-15_class_D	superfamily	451269	42	257	1.56785e-50	167.978	cl21491	Transpeptidase superfamily	 - 	 - 
Q#14 - >OXA-15_class_D	non-specific	274573	68	147	4.47668e-05	44.4361	TIGR03423	pbp2_mrdA	NC	cl37268
Q#14 - >OXA-15_class_D	superfamily	274573	68	147	4.47668e-05	44.4361	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#15 - >OXA-17_class_D	non-specific	225322	13	264	1.09459e-72	223.011	COG2602	YbxI	 - 	cl43695
Q#15 - >OXA-17_class_D	superfamily	225322	13	264	1.09459e-72	223.011	cl43695	YbxI superfamily	 - 	 - 
Q#15 - >OXA-17_class_D	non-specific	425939	59	259	3.12968e-31	117.132	pfam00905	Transpeptidase	 - 	cl21491
Q#15 - >OXA-17_class_D	superfamily	451269	59	259	3.12968e-31	117.132	cl21491	Transpeptidase superfamily	 - 	 - 
Q#15 - >OXA-17_class_D	non-specific	274573	63	151	1.47502e-06	48.6733	TIGR03423	pbp2_mrdA	NC	cl37268
Q#15 - >OXA-17_class_D	superfamily	274573	63	151	1.47502e-06	48.6733	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#15 - >OXA-17_class_D	non-specific	236761	63	151	5.31657e-05	43.9889	PRK10795	PRK10795	NC	cl35950
Q#15 - >OXA-17_class_D	superfamily	236761	63	151	5.31657e-05	43.9889	cl35950	PRK10795 superfamily	NC	 - 
Q#16 - >OXA-18_class_D	non-specific	225322	27	271	5.014e-86	257.294	COG2602	YbxI	 - 	cl43695
Q#16 - >OXA-18_class_D	superfamily	225322	27	271	5.014e-86	257.294	cl43695	YbxI superfamily	 - 	 - 
Q#16 - >OXA-18_class_D	specific	425939	39	262	3.67164e-44	151.415	pfam00905	Transpeptidase	 - 	cl21491
Q#16 - >OXA-18_class_D	superfamily	451269	39	262	3.67164e-44	151.415	cl21491	Transpeptidase superfamily	 - 	 - 
Q#17 - >OXA-19_class_D	non-specific	225322	13	264	2.81927e-72	221.856	COG2602	YbxI	 - 	cl43695
Q#17 - >OXA-19_class_D	superfamily	225322	13	264	2.81927e-72	221.856	cl43695	YbxI superfamily	 - 	 - 
Q#17 - >OXA-19_class_D	non-specific	425939	59	240	1.84931e-28	109.813	pfam00905	Transpeptidase	 - 	cl21491
Q#17 - >OXA-19_class_D	superfamily	451269	59	240	1.84931e-28	109.813	cl21491	Transpeptidase superfamily	 - 	 - 
Q#17 - >OXA-19_class_D	non-specific	274573	63	151	4.25243e-06	47.5177	TIGR03423	pbp2_mrdA	NC	cl37268
Q#17 - >OXA-19_class_D	superfamily	274573	63	151	4.25243e-06	47.5177	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#17 - >OXA-19_class_D	non-specific	236761	63	151	4.90385e-05	44.3741	PRK10795	PRK10795	NC	cl35950
Q#17 - >OXA-19_class_D	superfamily	236761	63	151	4.90385e-05	44.3741	cl35950	PRK10795 superfamily	NC	 - 
Q#18 - >OXA-20_class_D	non-specific	225322	11	265	9.87366e-97	283.873	COG2602	YbxI	 - 	cl43695
Q#18 - >OXA-20_class_D	superfamily	225322	11	265	9.87366e-97	283.873	cl43695	YbxI superfamily	 - 	 - 
Q#18 - >OXA-20_class_D	specific	425939	42	258	4.43876e-55	179.149	pfam00905	Transpeptidase	 - 	cl21491
Q#18 - >OXA-20_class_D	superfamily	451269	42	258	4.43876e-55	179.149	cl21491	Transpeptidase superfamily	 - 	 - 
Q#18 - >OXA-20_class_D	non-specific	274573	41	147	1.48185e-07	51.7549	TIGR03423	pbp2_mrdA	NC	cl37268
Q#18 - >OXA-20_class_D	superfamily	274573	41	147	1.48185e-07	51.7549	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#19 - >OXA-21_class_D	non-specific	225322	39	265	2.62596e-94	278.095	COG2602	YbxI	 - 	cl43695
Q#19 - >OXA-21_class_D	superfamily	225322	39	265	2.62596e-94	278.095	cl43695	YbxI superfamily	 - 	 - 
Q#19 - >OXA-21_class_D	specific	425939	42	257	3.00061e-51	169.519	pfam00905	Transpeptidase	 - 	cl21491
Q#19 - >OXA-21_class_D	superfamily	451269	42	257	3.00061e-51	169.519	cl21491	Transpeptidase superfamily	 - 	 - 
Q#19 - >OXA-21_class_D	non-specific	274573	68	147	0.00793952	37.5025	TIGR03423	pbp2_mrdA	NC	cl37268
Q#19 - >OXA-21_class_D	superfamily	274573	68	147	0.00793952	37.5025	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#20 - >OXA-22_class_D	non-specific	225322	26	266	2.69944e-81	244.968	COG2602	YbxI	 - 	cl43695
Q#20 - >OXA-22_class_D	superfamily	225322	26	266	2.69944e-81	244.968	cl43695	YbxI superfamily	 - 	 - 
Q#20 - >OXA-22_class_D	specific	425939	25	267	1.41849e-55	180.69	pfam00905	Transpeptidase	 - 	cl21491
Q#20 - >OXA-22_class_D	superfamily	451269	25	267	1.41849e-55	180.69	cl21491	Transpeptidase superfamily	 - 	 - 
Q#21 - >OXA-23_class_D	non-specific	225322	30	273	3.33921e-67	209.144	COG2602	YbxI	 - 	cl43695
Q#21 - >OXA-23_class_D	superfamily	225322	30	273	3.33921e-67	209.144	cl43695	YbxI superfamily	 - 	 - 
Q#21 - >OXA-23_class_D	non-specific	425939	48	249	8.23017e-35	126.762	pfam00905	Transpeptidase	 - 	cl21491
Q#21 - >OXA-23_class_D	superfamily	451269	48	249	8.23017e-35	126.762	cl21491	Transpeptidase superfamily	 - 	 - 
Q#21 - >OXA-23_class_D	non-specific	274573	75	185	1.96329e-08	54.8365	TIGR03423	pbp2_mrdA	NC	cl37268
Q#21 - >OXA-23_class_D	superfamily	274573	75	185	1.96329e-08	54.8365	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#22 - >OXA-24_class_D	non-specific	225322	50	275	4.41636e-58	186.032	COG2602	YbxI	 - 	cl43695
Q#22 - >OXA-24_class_D	superfamily	225322	50	275	4.41636e-58	186.032	cl43695	YbxI superfamily	 - 	 - 
Q#22 - >OXA-24_class_D	specific	425939	58	270	6.55352e-36	129.844	pfam00905	Transpeptidase	 - 	cl21491
Q#22 - >OXA-24_class_D	superfamily	451269	58	270	6.55352e-36	129.844	cl21491	Transpeptidase superfamily	 - 	 - 
Q#22 - >OXA-24_class_D	non-specific	274573	77	159	6.73054e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#22 - >OXA-24_class_D	superfamily	274573	77	159	6.73054e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#23 - >OXA-25_class_D	non-specific	225322	50	275	2.07334e-57	184.106	COG2602	YbxI	 - 	cl43695
Q#23 - >OXA-25_class_D	superfamily	225322	50	275	2.07334e-57	184.106	cl43695	YbxI superfamily	 - 	 - 
Q#23 - >OXA-25_class_D	specific	425939	58	270	1.96562e-36	130.999	pfam00905	Transpeptidase	 - 	cl21491
Q#23 - >OXA-25_class_D	superfamily	451269	58	270	1.96562e-36	130.999	cl21491	Transpeptidase superfamily	 - 	 - 
Q#23 - >OXA-25_class_D	non-specific	274573	77	159	6.73054e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#23 - >OXA-25_class_D	superfamily	274573	77	159	6.73054e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#24 - >OXA-26_class_D	non-specific	225322	50	275	1.14389e-57	184.877	COG2602	YbxI	 - 	cl43695
Q#24 - >OXA-26_class_D	superfamily	225322	50	275	1.14389e-57	184.877	cl43695	YbxI superfamily	 - 	 - 
Q#24 - >OXA-26_class_D	specific	425939	58	270	1.26099e-35	129.073	pfam00905	Transpeptidase	 - 	cl21491
Q#24 - >OXA-26_class_D	superfamily	451269	58	270	1.26099e-35	129.073	cl21491	Transpeptidase superfamily	 - 	 - 
Q#24 - >OXA-26_class_D	non-specific	274573	77	159	6.73054e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#24 - >OXA-26_class_D	superfamily	274573	77	159	6.73054e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#25 - >OXA-27_class_D	non-specific	225322	30	273	6.97164e-66	205.677	COG2602	YbxI	 - 	cl43695
Q#25 - >OXA-27_class_D	superfamily	225322	30	273	6.97164e-66	205.677	cl43695	YbxI superfamily	 - 	 - 
Q#25 - >OXA-27_class_D	non-specific	425939	48	249	2.97621e-34	125.221	pfam00905	Transpeptidase	 - 	cl21491
Q#25 - >OXA-27_class_D	superfamily	451269	48	249	2.97621e-34	125.221	cl21491	Transpeptidase superfamily	 - 	 - 
Q#25 - >OXA-27_class_D	non-specific	274573	75	185	4.25884e-08	53.6809	TIGR03423	pbp2_mrdA	NC	cl37268
Q#25 - >OXA-27_class_D	superfamily	274573	75	185	4.25884e-08	53.6809	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#26 - >OXA-28_class_D	non-specific	225322	13	264	1.6265e-70	217.233	COG2602	YbxI	 - 	cl43695
Q#26 - >OXA-28_class_D	superfamily	225322	13	264	1.6265e-70	217.233	cl43695	YbxI superfamily	 - 	 - 
Q#26 - >OXA-28_class_D	non-specific	425939	59	240	4.87735e-27	105.961	pfam00905	Transpeptidase	 - 	cl21491
Q#26 - >OXA-28_class_D	superfamily	451269	59	240	4.87735e-27	105.961	cl21491	Transpeptidase superfamily	 - 	 - 
Q#26 - >OXA-28_class_D	non-specific	274573	63	151	4.25243e-06	47.5177	TIGR03423	pbp2_mrdA	NC	cl37268
Q#26 - >OXA-28_class_D	superfamily	274573	63	151	4.25243e-06	47.5177	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#26 - >OXA-28_class_D	non-specific	236761	63	151	4.90385e-05	44.3741	PRK10795	PRK10795	NC	cl35950
Q#26 - >OXA-28_class_D	superfamily	236761	63	151	4.90385e-05	44.3741	cl35950	PRK10795 superfamily	NC	 - 
Q#27 - >OXA-29_class_D	non-specific	225322	20	239	2.06056e-64	201.826	COG2602	YbxI	 - 	cl43695
Q#27 - >OXA-29_class_D	superfamily	225322	20	239	2.06056e-64	201.826	cl43695	YbxI superfamily	 - 	 - 
Q#27 - >OXA-29_class_D	specific	425939	41	258	2.26392e-58	187.624	pfam00905	Transpeptidase	 - 	cl21491
Q#27 - >OXA-29_class_D	superfamily	451269	41	258	2.26392e-58	187.624	cl21491	Transpeptidase superfamily	 - 	 - 
Q#28 - >OXA-31_class_D	non-specific	225322	29	265	5.18712e-59	188.344	COG2602	YbxI	 - 	cl43695
Q#28 - >OXA-31_class_D	superfamily	225322	29	265	5.18712e-59	188.344	cl43695	YbxI superfamily	 - 	 - 
Q#28 - >OXA-31_class_D	specific	425939	42	255	5.16051e-43	148.333	pfam00905	Transpeptidase	 - 	cl21491
Q#28 - >OXA-31_class_D	superfamily	451269	42	255	5.16051e-43	148.333	cl21491	Transpeptidase superfamily	 - 	 - 
Q#29 - >OXA-32_class_D	non-specific	225322	39	265	9.31379e-94	276.939	COG2602	YbxI	 - 	cl43695
Q#29 - >OXA-32_class_D	superfamily	225322	39	265	9.31379e-94	276.939	cl43695	YbxI superfamily	 - 	 - 
Q#29 - >OXA-32_class_D	specific	425939	42	257	3.52509e-51	169.519	pfam00905	Transpeptidase	 - 	cl21491
Q#29 - >OXA-32_class_D	superfamily	451269	42	257	3.52509e-51	169.519	cl21491	Transpeptidase superfamily	 - 	 - 
Q#29 - >OXA-32_class_D	non-specific	274573	68	147	4.43674e-05	44.4361	TIGR03423	pbp2_mrdA	NC	cl37268
Q#29 - >OXA-32_class_D	superfamily	274573	68	147	4.43674e-05	44.4361	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#30 - >OXA-33_class_D	non-specific	225322	50	275	4.41636e-58	186.032	COG2602	YbxI	 - 	cl43695
Q#30 - >OXA-33_class_D	superfamily	225322	50	275	4.41636e-58	186.032	cl43695	YbxI superfamily	 - 	 - 
Q#30 - >OXA-33_class_D	specific	425939	58	270	6.55352e-36	129.844	pfam00905	Transpeptidase	 - 	cl21491
Q#30 - >OXA-33_class_D	superfamily	451269	58	270	6.55352e-36	129.844	cl21491	Transpeptidase superfamily	 - 	 - 
Q#30 - >OXA-33_class_D	non-specific	274573	77	159	6.73054e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#30 - >OXA-33_class_D	superfamily	274573	77	159	6.73054e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#31 - >OXA-35_class_D	non-specific	225322	13	264	1.31687e-72	222.626	COG2602	YbxI	 - 	cl43695
Q#31 - >OXA-35_class_D	superfamily	225322	13	264	1.31687e-72	222.626	cl43695	YbxI superfamily	 - 	 - 
Q#31 - >OXA-35_class_D	non-specific	425939	59	240	2.77592e-29	112.125	pfam00905	Transpeptidase	 - 	cl21491
Q#31 - >OXA-35_class_D	superfamily	451269	59	240	2.77592e-29	112.125	cl21491	Transpeptidase superfamily	 - 	 - 
Q#31 - >OXA-35_class_D	non-specific	274573	63	151	4.25243e-06	47.5177	TIGR03423	pbp2_mrdA	NC	cl37268
Q#31 - >OXA-35_class_D	superfamily	274573	63	151	4.25243e-06	47.5177	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#31 - >OXA-35_class_D	non-specific	236761	63	151	4.90385e-05	44.3741	PRK10795	PRK10795	NC	cl35950
Q#31 - >OXA-35_class_D	superfamily	236761	63	151	4.90385e-05	44.3741	cl35950	PRK10795 superfamily	NC	 - 
Q#32 - >OXA-37_class_D	non-specific	225322	11	265	1.21504e-96	283.873	COG2602	YbxI	 - 	cl43695
Q#32 - >OXA-37_class_D	superfamily	225322	11	265	1.21504e-96	283.873	cl43695	YbxI superfamily	 - 	 - 
Q#32 - >OXA-37_class_D	specific	425939	42	258	5.68689e-55	178.764	pfam00905	Transpeptidase	 - 	cl21491
Q#32 - >OXA-37_class_D	superfamily	451269	42	258	5.68689e-55	178.764	cl21491	Transpeptidase superfamily	 - 	 - 
Q#32 - >OXA-37_class_D	non-specific	274573	41	147	1.49541e-07	51.7549	TIGR03423	pbp2_mrdA	NC	cl37268
Q#32 - >OXA-37_class_D	superfamily	274573	41	147	1.49541e-07	51.7549	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#32 - >OXA-37_class_D	non-specific	276870	8	38	0.00878227	37.3793	cd14905	MYSc_Myo44	C	cl22853
Q#32 - >OXA-37_class_D	superfamily	451428	8	38	0.00878227	37.3793	cl22853	Motor_domain superfamily	C	 - 
Q#33 - >OXA-40_class_D	non-specific	225322	50	275	4.41636e-58	186.032	COG2602	YbxI	 - 	cl43695
Q#33 - >OXA-40_class_D	superfamily	225322	50	275	4.41636e-58	186.032	cl43695	YbxI superfamily	 - 	 - 
Q#33 - >OXA-40_class_D	specific	425939	58	270	6.55352e-36	129.844	pfam00905	Transpeptidase	 - 	cl21491
Q#33 - >OXA-40_class_D	superfamily	451269	58	270	6.55352e-36	129.844	cl21491	Transpeptidase superfamily	 - 	 - 
Q#33 - >OXA-40_class_D	non-specific	274573	77	159	6.73054e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#33 - >OXA-40_class_D	superfamily	274573	77	159	6.73054e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#34 - >OXA-42_class_D	non-specific	225322	27	267	1.08837e-81	245.738	COG2602	YbxI	 - 	cl43695
Q#34 - >OXA-42_class_D	superfamily	225322	27	267	1.08837e-81	245.738	cl43695	YbxI superfamily	 - 	 - 
Q#34 - >OXA-42_class_D	specific	425939	26	262	1.29639e-43	149.874	pfam00905	Transpeptidase	 - 	cl21491
Q#34 - >OXA-42_class_D	superfamily	451269	26	262	1.29639e-43	149.874	cl21491	Transpeptidase superfamily	 - 	 - 
Q#34 - >OXA-42_class_D	non-specific	274573	51	149	5.39675e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#34 - >OXA-42_class_D	superfamily	274573	51	149	5.39675e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#35 - >OXA-43_class_D	non-specific	225322	27	267	1.06769e-79	240.731	COG2602	YbxI	 - 	cl43695
Q#35 - >OXA-43_class_D	superfamily	225322	27	267	1.06769e-79	240.731	cl43695	YbxI superfamily	 - 	 - 
Q#35 - >OXA-43_class_D	specific	425939	26	262	3.53052e-41	143.326	pfam00905	Transpeptidase	 - 	cl21491
Q#35 - >OXA-43_class_D	superfamily	451269	26	262	3.53052e-41	143.326	cl21491	Transpeptidase superfamily	 - 	 - 
Q#35 - >OXA-43_class_D	non-specific	274573	51	149	0.000181314	42.5101	TIGR03423	pbp2_mrdA	NC	cl37268
